"","ZIPCODE","Calls311","Shelters","Crime","TotalHomeless","TotalSheltered","TotalUnsheltered","YouthHomeless","city.x","state.x","LATITUDE.x","LONGITUDE.x","CRIME.CODE.DESCRIPTION","LOCATION","LATITUDE.y","LONGITUDE.y","city.y","state.y"
"51",90062,70,1,NA,494,244,250,244,"Los Angeles","CA",34.0032,-118.3078,NA,NA,NA,NA,NA,NA
"52",90063,38,1,NA,140,0,140,0,"Los Angeles","CA",34.0452,-118.1865,NA,NA,NA,NA,NA,NA
"53",90064,654,2,NA,352,110,242,110,"Los Angeles","CA",34.0346,-118.4284,NA,NA,NA,NA,NA,NA
"54",90065,86,NA,NA,206,0,206,0,"Los Angeles","CA",34.1076,-118.2266,NA,NA,NA,NA,NA,NA
"55",90066,205,NA,NA,506,58,448,58,"Los Angeles","CA",34.002,-118.4308,NA,NA,NA,NA,NA,NA
"56",90067,8,NA,NA,16,0,16,0,"Los Angeles","CA",34.0567,-118.4118,NA,NA,NA,NA,NA,NA
"57",90068,74,NA,NA,91,2,89,2,"Los Angeles","CA",34.1221,-118.3379,NA,NA,NA,NA,NA,NA
"58",90069,1,NA,NA,44,0,44,0,"West Hollywood","CA",34.091,-118.3813,NA,NA,NA,NA,NA,NA
"59",90071,2,NA,NA,149,33,116,33,"Los Angeles","CA",34.0527,-118.2559,NA,NA,NA,NA,NA,NA
"60",90077,1,NA,NA,6,0,6,0,"Los Angeles","CA",34.101,-118.4508,NA,NA,NA,NA,NA,NA
"61",90094,2,NA,NA,0,0,0,0,"Los Angeles","CA",33.7866,-118.2987,NA,NA,NA,NA,NA,NA
"62",90095,1,NA,NA,5,0,5,0,"Los Angeles","CA",33.7866,-118.2987,NA,NA,NA,NA,NA,NA
"63",90210,1,NA,NA,54,0,54,0,"Beverly Hills","CA",34.0888,-118.4061,NA,NA,NA,NA,NA,NA
"64",90230,7,NA,NA,150,0,150,0,"Culver City","CA",33.9972,-118.4015,NA,NA,NA,NA,NA,NA
"65",90232,9,NA,NA,77,6,71,6,"Culver City","CA",34.0216,-118.3917,NA,NA,NA,NA,NA,NA
"66",90245,4,NA,NA,62,0,62,0,"El Segundo","CA",33.9213,-118.4084,NA,NA,NA,NA,NA,NA
"67",90247,20,NA,NA,219,53,166,53,"Gardena","CA",33.8913,-118.2975,NA,NA,NA,NA,NA,NA
"68",90248,55,NA,NA,584,0,584,0,"Gardena","CA",33.8705,-118.2881,NA,NA,NA,NA,NA,NA
"69",90272,8,NA,NA,198,0,198,0,"Pacific Palisades","CA",34.0505,-118.5337,NA,NA,NA,NA,NA,NA
"70",90291,444,3,NA,888,67,821,67,"Venice","CA",33.9924,-118.4653,NA,NA,NA,NA,NA,NA
"71",90292,96,NA,NA,345,49,296,49,"Marina Del Rey","CA",33.9764,-118.4546,NA,NA,NA,NA,NA,NA
"72",90293,14,NA,NA,50,0,50,0,"Playa Del Rey","CA",33.957,-118.4417,NA,NA,NA,NA,NA,NA
