LURN_SAK,INCIDENT_DATE,CATEGORY,STAT,STAT_DESC,ADDRESS,STREET,CITY,ZIPCODE,X_COORDINATE,Y_COORDINATE,INCIDENT_ID,REPORTING_DISTRICT,SEQ,UNIT_ID,UNIT_NAME,DELETED
18385266,11/2/2017 0:30,VANDALISM,261,VANDALISM MISD,"23200 S RAVENNA AVE, CARSON, CA 90745",23200 S RAVENNA AVE,CARSON,90745,6479944.036,1754872.557,917-12158-1624,1624,12158,CA0190016,CARSON,N
18385259,11/2/2017 1:15,VANDALISM,261,VANDALISM MISD,"23300 S RAVENNA AVE, CARSON, CA 90745",23300 S RAVENNA AVE,CARSON,90745,6479938.851,1754828.519,917-12156-1624,1624,12156,CA0190016,CARSON,N
18384456,11/2/2017 1:20,VANDALISM,261,VANDALISM MISD,"1100 W 106TH ST, LOS ANGELES, CA",1100 W 106TH ST,LOS ANGELES,,6472418.513,1800626.157,917-10158-0375,375,10158,CA0190003,SOUTH LOS ANGELES,N
18384579,11/2/2017 1:32,VANDALISM,264,VANDALISM: Graffiti/Tagging,"8700 E AVENUE R, LITTLEROCK, CA 93543",8700 E AVENUE R,LITTLEROCK,93543,6570003.621,2030669.988,917-15986-2693,2693,15986,CA01900W9,PALMDALE,N
18384568,11/2/2017 2:41,VANDALISM,263,VANDALISM FELONY,"1200 E CLARION DR, TORRANCE, CA",1200 E CLARION DR,TORRANCE,,6471049.405,1762930.178,917-12135-1694,1694,12135,CA0190016,CARSON,N
18384645,11/2/2017 4:55,VANDALISM,261,VANDALISM MISD,"9500 BRIERFIELD ST, PICO RIVERA, CA 90660",9500 BRIERFIELD ST,PICO RIVERA,90660,6541255.983,1828117.249,917-08448-1511,1511,8448,CA0190015,PICO RIVERA,N
18384882,11/2/2017 6:30,VANDALISM,261,VANDALISM MISD,"600 N TOPANGA CYN BLVD, TOPANGA, CA",600 N TOPANGA CYN BLVD,TOPANGA,,6380336.708,1858990.256,917-06296-1033,1033,6296,CA0190022,MALIBU/LOST HILLS,N
18384563,11/2/2017 7:20,VANDALISM,261,VANDALISM MISD,"1200 HAVENHURST DR, WEST HOLLYWOOD, CA",1200 HAVENHURST DR,WEST HOLLYWOOD,,6450547.983,1856362.708,917-06018-0975,975,6018,CA0190009,WEST HOLLYWOOD,N
18384616,11/2/2017 8:00,VANDALISM,263,VANDALISM FELONY,"300 W MAGNOLIA ST, COMPTON, CA 90220",300 W MAGNOLIA ST,COMPTON,90220,6492858.162,1784838.382,917-14553-2814,2814,14553,CA0190042,COMPTON,N
18384863,11/2/2017 10:00,VANDALISM,263,VANDALISM FELONY,"8400 VICKY DR, WHITTIER, CA 90606",8400 VICKY DR,WHITTIER,90606,6538161.745,1810190.354,917-08450-1578,1578,8450,CA0190015,PICO RIVERA,N
18385983,11/2/2017 10:25,VANDALISM,264,VANDALISM: Graffiti/Tagging,"200 S CATARACT AVE, SAN DIMAS, CA 91773",200 S CATARACT AVE,SAN DIMAS,91773,6618720.973,1860782.021,917-05559-0814,814,5559,CA0190008,SAN DIMAS,N
18384801,11/2/2017 10:46,VANDALISM,262,VANDALISM: Vandalism Jail,"11700 S ALAMEDA ST, LYNWOOD, CA 90262",11700 S ALAMEDA ST,LYNWOOD,90262,6493000.966,1796164.717,917-02840-5700,5700,2840,CA0190053,CRDF,N
18384887,11/2/2017 10:55,VANDALISM,262,VANDALISM: Vandalism Jail,"400 BAUCHET ST, LOS ANGELES, CA 90012",400 BAUCHET ST,LOS ANGELES,90012,6491680.115,1843985.321,917-02004-5120,5120,2004,CA0190026,INMATE RECEPTION CENTR,N
18385216,11/2/2017 11:30,VANDALISM,261,VANDALISM MISD,"11500 E AVENUE R-4, LITTLEROCK, CA 93543",11500 E AVENUE R-4,LITTLEROCK,93543,6584371.937,2029452.59,917-16021-2663,2663,16021,CA01900W9,PALMDALE,N
18385087,11/2/2017 14:20,VANDALISM,263,VANDALISM FELONY,"28000 HAWTHORNE BLVD, RANCHO PALOS VERDES, CA",28000 HAWTHORNE BLVD,RANCHO PALOS VERDES,,6442841.321,1742405.066,917-04229-1735,1735,4229,CA0190017,LOMITA,N
18385148,11/2/2017 14:28,VANDALISM,262,VANDALISM: Vandalism Jail,"400 BAUCHET ST, LOS ANGELES, CA 90012",400 BAUCHET ST,LOS ANGELES,90012,6491680.115,1843985.321,917-02006-5120,5120,2006,CA0190026,INMATE RECEPTION CENTR,N
18386426,11/2/2017 17:30,VANDALISM,263,VANDALISM FELONY,"21100 S SANTA FE AVE, CARSON, CA 90810",21100 S SANTA FE AVE,CARSON,90810,6496275.069,1763263.585,917-12214-1622,1622,12214,CA0190016,CARSON,N
18385222,11/2/2017 17:30,VANDALISM,263,VANDALISM FELONY,"4500 CESAR E CHAVEZ AVE, LOS ANGELES, CA 90022",4500 CESAR E CHAVEZ AVE,LOS ANGELES,90022,6510872.282,1837132.397,917-16528-0281,281,16528,CA0190002,EAST LOS ANGELES,N
18385258,11/2/2017 17:37,VANDALISM,263,VANDALISM FELONY,"10700 WESTERN AVE, LOS ANGELES, CA",10700 WESTERN AVE,LOS ANGELES,,6468012.617,1800202.408,917-10176-0374,374,10176,CA0190003,SOUTH LOS ANGELES,N
18385731,11/2/2017 19:15,VANDALISM,261,VANDALISM MISD,"300 E 234TH ST, CARSON, CA 90745",300 E 234TH ST,CARSON,90745,6479890.24,1754554.821,917-12179-1624,1624,12179,CA0190016,CARSON,N
18386092,11/2/2017 19:30,VANDALISM,263,VANDALISM FELONY,"2600 RISING STAR DR, DIAMOND BAR, CA 91765",2600 RISING STAR DR,DIAMOND BAR,91765,6611487.98,1814162.701,917-06798-2927,2927,6798,CA0190020,WALNUT,N
18385385,11/2/2017 19:48,VANDALISM,262,VANDALISM: Vandalism Jail,"BAUCHET ST & SHOWER, LOS ANGELES, CA 90012",BAUCHET ST & SHOWER,LOS ANGELES,90012,6491552.344,1844031.951,917-02757-5100,5100,2757,CA0190058,MCJ,N
18384422,11/2/2017 21:15,VANDALISM,262,VANDALISM: Vandalism Jail,,,,,,,917-04516-5800,5800,4516,CA01900U2,TTCF,N
18386827,11/2/2017 21:30,VANDALISM,263,VANDALISM FELONY,"1400 106TH ST, LOS ANGELES, CA",1400 106TH ST,LOS ANGELES,,6470048.085,1800752.444,917-10225-0372,372,10225,CA0190003,SOUTH LOS ANGELES,N
18386045,11/2/2017 22:07,VANDALISM,261,VANDALISM MISD,"1000 W CRESSEY ST, COMPTON, CA",1000 W CRESSEY ST,COMPTON,,6487908.043,1787751.441,917-14600-2812,2812,14600,CA0190042,COMPTON,N
18386179,11/2/2017 23:30,VANDALISM,263,VANDALISM FELONY,"1300 TURNBULL CANYON RD, HACIENDA HEIGHTS, CA",1300 TURNBULL CANYON RD,HACIENDA HEIGHTS,,6567799.144,1826241.211,917-13575-1470,1470,13575,CA0190014,INDUSTRY,N
18386154,11/3/2017 0:50,VANDALISM,264,VANDALISM: Graffiti/Tagging,"2200 E 121ST ST, LOS ANGELES, CA 90002",2200 E 121ST ST,LOS ANGELES,90002,6491381.695,1794157.829,017-17123-2197,2197,17123,CA01900V3,CENTURY,N
18386667,11/3/2017 3:00,VANDALISM,261,VANDALISM MISD,"11200 BERENDO AVE, LOS ANGELES, CA",11200 BERENDO AVE,LOS ANGELES,,6472454.05,1797518.104,917-10217-0375,375,10217,CA0190003,SOUTH LOS ANGELES,N
18386159,11/3/2017 3:30,VANDALISM,264,VANDALISM: Graffiti/Tagging,"700 E DEL AMO BLVD, CARSON, CA",700 E DEL AMO BLVD,CARSON,,6481931.392,1766974.319,917-12195-1615,1615,12195,CA0190016,CARSON,N
18386812,11/3/2017 9:30,VANDALISM,261,VANDALISM MISD,"5200 SERENO DR, TEMPLE CITY, CA 91780",5200 SERENO DR,TEMPLE CITY,91780,6540060.356,1856815.652,917-12688-0524,524,12688,CA0190005,TEMPLE,N
18386493,11/3/2017 10:10,VANDALISM,263,VANDALISM FELONY,"10100 ARTESIA BLVD, BELLFLOWER, CA",10100 ARTESIA BLVD,BELLFLOWER,,6525641.347,1776165.716,917-23521-1336,1336,23521,CA0190013,LAKEWOOD,N
18386385,11/3/2017 10:45,VANDALISM,263,VANDALISM FELONY,,,,,,,917-16073-2602,2602,16073,CA01900W9,PALMDALE,N
18386129,11/3/2017 13:30,VANDALISM,261,VANDALISM MISD,"5700 ROCKVALE AVE, AZUSA, CA 91702",5700 ROCKVALE AVE,AZUSA,91702,6593087.037,1865215.984,917-05563-0869,869,5563,CA0190008,SAN DIMAS,N
18386253,11/3/2017 16:00,VANDALISM,263,VANDALISM FELONY,"1800 LINDA VISTA AVE, LANCASTER, CA",1800 LINDA VISTA AVE,LANCASTER,,6532368.082,2078296.57,917-21480-1135,1135,21480,CA0190024,LANCASTER,N
18386280,11/3/2017 17:00,VANDALISM,261,VANDALISM MISD,"18100 S COLTMAN AVE, CARSON, CA",18100 S COLTMAN AVE,CARSON,,6478720.822,1773834.199,917-12204-1614,1614,12204,CA0190016,CARSON,N
18386773,11/3/2017 21:15,VANDALISM,263,VANDALISM FELONY,"2200 W 159TH ST, COMPTON, CA 90220",2200 W 159TH ST,COMPTON,90220,6485141.422,1782215.279,917-14644-2830,2830,14644,CA0190042,COMPTON,N
18387548,11/3/2017 21:30,VANDALISM,263,VANDALISM FELONY,"43600 REMBRANDT ST, LANCASTER, CA",43600 REMBRANDT ST,LANCASTER,,6529261.73,2068494.192,917-21589-1137,1137,21589,CA0190024,LANCASTER,N
18386657,11/4/2017 0:00,VANDALISM,261,VANDALISM MISD,"37600 NECTARINE DR, PALMDALE, CA",37600 NECTARINE DR,PALMDALE,,6532671.982,2028343.283,917-16088-2610,2610,16088,CA01900W9,PALMDALE,N
18386623,11/4/2017 3:00,VANDALISM,261,VANDALISM MISD,"1300 S ATLANTIC DR, COMPTON, CA",1300 S ATLANTIC DR,COMPTON,,6503384.596,1780558.481,917-14633-2847,2847,14633,CA0190042,COMPTON,N
18386823,11/4/2017 3:57,VANDALISM,264,VANDALISM: Graffiti/Tagging,"700 N DURFEE AVE, SOUTH EL MONTE, CA 91733",700 N DURFEE AVE,SOUTH EL MONTE,91733,6546384.31,1834150.356,917-12689-0578,578,12689,CA0190005,TEMPLE,N
18386665,11/4/2017 6:00,VANDALISM,263,VANDALISM FELONY,"24600 NARBONNE AVE, LOMITA, CA 90717",24600 NARBONNE AVE,LOMITA,90717,6464481.439,1750359.815,917-04251-1711,1711,4251,CA0190017,LOMITA,N
18386847,11/4/2017 6:25,VANDALISM,263,VANDALISM FELONY,"27200 CAMP PLENTY RD, CANYON COUNTRY, CA",27200 CAMP PLENTY RD,CANYON COUNTRY,,6417728.529,1974654.47,917-15593-0610,610,15593,CA0190006,SANTA CLARITA VALLEY,N
18386699,11/4/2017 8:28,VANDALISM,263,VANDALISM FELONY,,,,,,,917-16001-0451,451,16001,CA0190004,NORWALK,N
18386740,11/4/2017 8:30,VANDALISM,264,VANDALISM: Graffiti/Tagging,"43500 SIERRA HWY, LANCASTER, CA 93535",43500 SIERRA HWY,LANCASTER,93535,6521638.611,2067922.59,917-21505-1124,1124,21505,CA0190024,LANCASTER,N
18386747,11/4/2017 9:00,VANDALISM,263,VANDALISM FELONY,"112TH ST & RAYMOND AVE, LOS ANGELES, CA 90044",112TH ST & RAYMOND AVE,LOS ANGELES,90044,6471316.537,1798070.3,917-10219-0375,375,10219,CA0190003,SOUTH LOS ANGELES,N
18386725,11/4/2017 9:11,VANDALISM,263,VANDALISM FELONY,"500 REPOSADO DR, LA HABRA HEIGHTS, CA 90631",500 REPOSADO DR,LA HABRA HEIGHTS,90631,6575265.713,1809687.064,917-13618-1451,1451,13618,CA0190014,INDUSTRY,N
18387684,11/4/2017 9:30,VANDALISM,263,VANDALISM FELONY,"9300 S VERMONT AVE, LOS ANGELES, CA 90044",9300 S VERMONT AVE,LOS ANGELES,90044,6473076.386,1804835.35,917-10246-0370,370,10246,CA0190003,SOUTH LOS ANGELES,N
18388314,11/4/2017 11:00,VANDALISM,261,VANDALISM MISD,"500 W ELM ST, COMPTON, CA",500 W ELM ST,COMPTON,,6490907.516,1786241.006,917-14727-2814,2814,14727,CA0190042,COMPTON,N
18387130,11/4/2017 11:00,VANDALISM,263,VANDALISM FELONY,"1600 FARMSTEAD ST, HACIENDA HEIGHTS, CA",1600 FARMSTEAD ST,HACIENDA HEIGHTS,,6571030.585,1823469.158,917-13644-1476,1476,13644,CA0190014,INDUSTRY,N
18386885,11/4/2017 13:11,VANDALISM,261,VANDALISM MISD,"11200 S BERENDO AVE, LOS ANGELES, CA",11200 S BERENDO AVE,LOS ANGELES,,6472454.05,1797518.104,917-10227-0378,378,10227,CA0190003,SOUTH LOS ANGELES,N
18388337,11/4/2017 13:30,VANDALISM,261,VANDALISM MISD,"18800 RAILROAD ST, INDUSTRY, CA 91748",18800 RAILROAD ST,INDUSTRY,91748,6594098.224,1821689.701,917-13717-1418,1418,13717,CA0190014,INDUSTRY,N
