LONGITUDE,LATITUDE,ZIPCODE,ShelterCount
-118.2734821,34.06929397,90026,1
-118.2839735,34.02591757,90007,1
-118.3208554,33.97473863,90043,1
-118.2786631,33.99038297,90037,1
-118.4369769,34.03675554,90064,1
-118.2738303,34.06798245,90057,1
-118.2877669,33.96021213,90044,1
-118.2917349,34.02182284,90007,1
-118.291749,34.03195207,90007,1
-118.0961112,33.98272937,90660,1
-118.1879831,33.78166197,90813,1
-118.2641501,34.04296297,90015,1
-118.2359781,34.15570497,91206,1
-118.5185131,34.38435297,91321,1
-118.5374881,34.20049426,91335,1
-118.5971322,34.25580711,91311,1
-118.4535688,34.05508342,90073,1
-118.4535688,34.05508342,90073,1
-118.034254,34.07306526,91731,1
-118.3789675,34.20486399,91605,1
-118.3848123,34.16503419,91601,1
-118.2779666,33.95736055,90003,1
-118.2934481,34.01348597,90037,1
-118.3086859,33.73837647,90003,1
-118.2401691,33.96076497,90001,1
-118.3175216,34.03745992,90018,1
-118.3992351,33.86684197,90254,1
