CRIME CODE DESCRIPTION,LOCATION ,LATITUDE,LONGITUDE
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9958, -118.472)",33.9958,-118.472
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9509, -118.3725)",33.9509,-118.3725
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9502, -118.3763)",33.9502,-118.3763
ROBBERY,"(33.9493, -118.3734)",33.9493,-118.3734
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9486, -118.3729)",33.9486,-118.3729
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9493, -118.3725)",33.9493,-118.3725
ROBBERY,"(33.9495, -118.3766)",33.9495,-118.3766
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0461, -118.2476)",34.0461,-118.2476
"RAPE, FORCIBLE","(34.046, -118.2509)",34.046,-118.2509
ROBBERY,"(34.0471, -118.2491)",34.0471,-118.2491
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0474, -118.2496)",34.0474,-118.2496
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0446, -118.249)",34.0446,-118.249
ROBBERY,"(34.0474, -118.2496)",34.0474,-118.2496
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.014, -118.2816)",34.014,-118.2816
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0111, -118.2784)",34.0111,-118.2784
ROBBERY,"(34.0131, -118.2791)",34.0131,-118.2791
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0141, -118.277)",34.0141,-118.277
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0126, -118.278)",34.0126,-118.278
ARSON,"(34.0121, -118.274)",34.0121,-118.274
ROBBERY,"(34.0126, -118.278)",34.0126,-118.278
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0126, -118.278)",34.0126,-118.278
ROBBERY,"(34.0155, -118.2772)",34.0155,-118.2772
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0126, -118.278)",34.0126,-118.278
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1205, -118.2514)",34.1205,-118.2514
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1205, -118.2514)",34.1205,-118.2514
ROBBERY,"(34.0759, -118.2668)",34.0759,-118.2668
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0721, -118.2669)",34.0721,-118.2669
ROBBERY,"(34.0716, -118.2719)",34.0716,-118.2719
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9586, -118.2761)",33.9586,-118.2761
ROBBERY,"(33.9593, -118.2782)",33.9593,-118.2782
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9778, -118.3003)",33.9778,-118.3003
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9762, -118.3024)",33.9762,-118.3024
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9746, -118.3003)",33.9746,-118.3003
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0632, -118.2349)",34.0632,-118.2349
ROBBERY,"(34.0673, -118.2372)",34.0673,-118.2372
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0656, -118.232)",34.0656,-118.232
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1052, -118.2023)",34.1052,-118.2023
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1063, -118.1995)",34.1063,-118.1995
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1074, -118.1978)",34.1074,-118.1978
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0465, -118.4484)",34.0465,-118.4484
ROBBERY,"(34.0465, -118.4484)",34.0465,-118.4484
ROBBERY,"(34.0459, -118.4507)",34.0459,-118.4507
"RAPE, FORCIBLE","(34.0279, -118.5188)",34.0279,-118.5188
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1758, -118.3643)",34.1758,-118.3643
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1794, -118.3615)",34.1794,-118.3615
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9601, -118.287)",33.9601,-118.287
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9601, -118.2827)",33.9601,-118.2827
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9632, -118.2827)",33.9632,-118.2827
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9601, -118.287)",33.9601,-118.287
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9613, -118.2871)",33.9613,-118.2871
ROBBERY,"(34.0407, -118.2468)",34.0407,-118.2468
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.026, -118.2412)",34.026,-118.2412
ROBBERY,"(34.0407, -118.2468)",34.0407,-118.2468
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0407, -118.2468)",34.0407,-118.2468
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0395, -118.2527)",34.0395,-118.2527
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0241, -118.2446)",34.0241,-118.2446
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.032, -118.2441)",34.032,-118.2441
"RAPE, FORCIBLE","(34.028, -118.2421)",34.028,-118.2421
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0407, -118.2468)",34.0407,-118.2468
ROBBERY,"(34.0407, -118.2468)",34.0407,-118.2468
ROBBERY,"(34.0407, -118.2468)",34.0407,-118.2468
ROBBERY,"(34.0349, -118.2503)",34.0349,-118.2503
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.026, -118.2412)",34.026,-118.2412
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0293, -118.241)",34.0293,-118.241
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0341, -118.2507)",34.0341,-118.2507
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0382, -118.2432)",34.0382,-118.2432
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0419, -118.2485)",34.0419,-118.2485
ROBBERY,"(34.0373, -118.2503)",34.0373,-118.2503
"RAPE, FORCIBLE","(34.0328, -118.254)",34.0328,-118.254
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0245, -118.244)",34.0245,-118.244
"RAPE, FORCIBLE","(34.0407, -118.2468)",34.0407,-118.2468
ROBBERY,"(34.0378, -118.2456)",34.0378,-118.2456
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.039, -118.2444)",34.039,-118.2444
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.039, -118.2444)",34.039,-118.2444
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0407, -118.2468)",34.0407,-118.2468
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.039, -118.2444)",34.039,-118.2444
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.032, -118.2441)",34.032,-118.2441
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0272, -118.248)",34.0272,-118.248
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0395, -118.248)",34.0395,-118.248
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0248, -118.2441)",34.0248,-118.2441
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0407, -118.2468)",34.0407,-118.2468
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0378, -118.2483)",34.0378,-118.2483
ROBBERY,"(34.0407, -118.2468)",34.0407,-118.2468
ARSON,"(34.0359, -118.246)",34.0359,-118.246
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.031, -118.2448)",34.031,-118.2448
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.031, -118.2586)",34.031,-118.2586
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0341, -118.2507)",34.0341,-118.2507
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0329, -118.2493)",34.0329,-118.2493
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0293, -118.2427)",34.0293,-118.2427
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0248, -118.2441)",34.0248,-118.2441
ROBBERY,"(34.0341, -118.2507)",34.0341,-118.2507
ROBBERY,"(34.0401, -118.2533)",34.0401,-118.2533
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0395, -118.2527)",34.0395,-118.2527
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0357, -118.2485)",34.0357,-118.2485
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0419, -118.2485)",34.0419,-118.2485
"RAPE, FORCIBLE","(34.0503, -118.2765)",34.0503,-118.2765
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0517, -118.2798)",34.0517,-118.2798
ROBBERY,"(34.2301, -118.4633)",34.2301,-118.4633
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2286, -118.4644)",34.2286,-118.4644
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0559, -118.2386)",34.0559,-118.2386
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0615, -118.2412)",34.0615,-118.2412
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0565, -118.2411)",34.0565,-118.2411
"RAPE, FORCIBLE","(34.0558, -118.24)",34.0558,-118.24
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0558, -118.24)",34.0558,-118.24
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0558, -118.24)",34.0558,-118.24
ROBBERY,"(34.0553, -118.2391)",34.0553,-118.2391
"RAPE, FORCIBLE","(34.0558, -118.24)",34.0558,-118.24
ROBBERY,"(34.0615, -118.2412)",34.0615,-118.2412
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0776, -118.2594)",34.0776,-118.2594
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0757, -118.2605)",34.0757,-118.2605
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0772, -118.2584)",34.0772,-118.2584
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1994, -118.4052)",34.1994,-118.4052
"RAPE, FORCIBLE","(34.0524, -118.2842)",34.0524,-118.2842
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9933, -118.4765)",33.9933,-118.4765
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9931, -118.4748)",33.9931,-118.4748
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9953, -118.481)",33.9953,-118.481
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9898, -118.4756)",33.9898,-118.4756
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9918, -118.4767)",33.9918,-118.4767
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9906, -118.4769)",33.9906,-118.4769
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9933, -118.4765)",33.9933,-118.4765
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9942, -118.4798)",33.9942,-118.4798
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.994, -118.4798)",33.994,-118.4798
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9933, -118.4765)",33.9933,-118.4765
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9913, -118.4775)",33.9913,-118.4775
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9926, -118.4787)",33.9926,-118.4787
ROBBERY,"(33.9933, -118.4765)",33.9933,-118.4765
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9892, -118.4751)",33.9892,-118.4751
ROBBERY,"(33.9918, -118.4791)",33.9918,-118.4791
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0541, -118.2621)",34.0541,-118.2621
"RAPE, FORCIBLE","(34.0542, -118.2611)",34.0542,-118.2611
ROBBERY,"(34.0509, -118.2642)",34.0509,-118.2642
"RAPE, FORCIBLE","(34.0777, -118.2892)",34.0777,-118.2892
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0818, -118.2868)",34.0818,-118.2868
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0777, -118.2892)",34.0777,-118.2892
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0764, -118.2894)",34.0764,-118.2894
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0764, -118.2903)",34.0764,-118.2903
ROBBERY,"(34.08, -118.2881)",34.08,-118.2881
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0794, -118.2868)",34.0794,-118.2868
ROBBERY,"(34.0777, -118.2903)",34.0777,-118.2903
ROBBERY,"(34.0764, -118.2903)",34.0764,-118.2903
ROBBERY,"(34.08, -118.2881)",34.08,-118.2881
ROBBERY,"(34.0764, -118.2894)",34.0764,-118.2894
ROBBERY,"(34.08, -118.2881)",34.08,-118.2881
ROBBERY,"(34.0777, -118.2903)",34.0777,-118.2903
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0042, -118.3315)",34.0042,-118.3315
"RAPE, FORCIBLE","(34.0054, -118.3338)",34.0054,-118.3338
ROBBERY,"(34.006, -118.3315)",34.006,-118.3315
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.006, -118.3315)",34.006,-118.3315
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9943, -118.2739)",33.9943,-118.2739
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2006, -118.3965)",34.2006,-118.3965
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1722, -118.379)",34.1722,-118.379
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2799, -118.4032)",34.2799,-118.4032
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2799, -118.4032)",34.2799,-118.4032
ROBBERY,"(34.0605, -118.2815)",34.0605,-118.2815
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0624, -118.2813)",34.0624,-118.2813
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0594, -118.2833)",34.0594,-118.2833
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0624, -118.2813)",34.0624,-118.2813
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.04, -118.4393)",34.04,-118.4393
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0437, -118.443)",34.0437,-118.443
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9885, -118.4749)",33.9885,-118.4749
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9858, -118.4727)",33.9858,-118.4727
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.988, -118.4703)",33.988,-118.4703
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9874, -118.472)",33.9874,-118.472
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9858, -118.4727)",33.9858,-118.4727
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9875, -118.4741)",33.9875,-118.4741
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9871, -118.4733)",33.9871,-118.4733
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9871, -118.4733)",33.9871,-118.4733
ROBBERY,"(34.1649, -118.3615)",34.1649,-118.3615
ROBBERY,"(34.0637, -118.2857)",34.0637,-118.2857
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0637, -118.2916)",34.0637,-118.2916
"RAPE, FORCIBLE","(34.0618, -118.2916)",34.0618,-118.2916
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1325, -118.3974)",34.1325,-118.3974
ROBBERY,"(34.1444, -118.3956)",34.1444,-118.3956
ROBBERY,"(34.0719, -118.2822)",34.0719,-118.2822
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0707, -118.2795)",34.0707,-118.2795
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.023, -118.351)",34.023,-118.351
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.023, -118.351)",34.023,-118.351
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.023, -118.351)",34.023,-118.351
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0283, -118.3492)",34.0283,-118.3492
"RAPE, FORCIBLE","(34.023, -118.351)",34.023,-118.351
ROBBERY,"(34.1504, -118.3658)",34.1504,-118.3658
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1522, -118.3571)",34.1522,-118.3571
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1523, -118.3664)",34.1523,-118.3664
ROBBERY,"(34.0467, -118.252)",34.0467,-118.252
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0445, -118.2523)",34.0445,-118.2523
ROBBERY,"(34.0481, -118.2507)",34.0481,-118.2507
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0467, -118.252)",34.0467,-118.252
ROBBERY,"(34.0467, -118.252)",34.0467,-118.252
"RAPE, FORCIBLE","(34.0485, -118.2513)",34.0485,-118.2513
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0452, -118.2534)",34.0452,-118.2534
ROBBERY,"(34.0439, -118.2514)",34.0439,-118.2514
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0495, -118.2494)",34.0495,-118.2494
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0426, -118.2528)",34.0426,-118.2528
"RAPE, FORCIBLE","(34.0736, -118.1724)",34.0736,-118.1724
ROBBERY,"(34.0524, -118.2907)",34.0524,-118.2907
ROBBERY,"(33.7812, -118.2625)",33.7812,-118.2625
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.7785, -118.2623)",33.7785,-118.2623
ROBBERY,"(33.7812, -118.2625)",33.7812,-118.2625
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.7757, -118.2608)",33.7757,-118.2608
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1372, -118.2118)",34.1372,-118.2118
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1372, -118.2118)",34.1372,-118.2118
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1361, -118.215)",34.1361,-118.215
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9602, -118.2564)",33.9602,-118.2564
ROBBERY,"(34.0618, -118.2941)",34.0618,-118.2941
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0618, -118.2929)",34.0618,-118.2929
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0636, -118.296)",34.0636,-118.296
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2157, -118.391)",34.2157,-118.391
ROBBERY,"(34.2166, -118.3919)",34.2166,-118.3919
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2121, -118.3889)",34.2121,-118.3889
"RAPE, FORCIBLE","(34.2121, -118.3889)",34.2121,-118.3889
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2261, -118.3878)",34.2261,-118.3878
"RAPE, FORCIBLE","(34.2121, -118.3889)",34.2121,-118.3889
ROBBERY,"(34.2012, -118.5055)",34.2012,-118.5055
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2011, -118.5186)",34.2011,-118.5186
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.7361, -118.2923)",33.7361,-118.2923
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.7361, -118.2946)",33.7361,-118.2946
"RAPE, FORCIBLE","(33.7424, -118.2923)",33.7424,-118.2923
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9863, -118.2881)",33.9863,-118.2881
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2012, -118.4211)",34.2012,-118.4211
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2012, -118.4182)",34.2012,-118.4182
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2063, -118.4225)",34.2063,-118.4225
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2012, -118.4225)",34.2012,-118.4225
ROBBERY,"(34.2037, -118.421)",34.2037,-118.421
ROBBERY,"(34.1032, -118.3387)",34.1032,-118.3387
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1034, -118.3325)",34.1034,-118.3325
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1016, -118.3361)",34.1016,-118.3361
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.989, -118.3352)",33.989,-118.3352
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.989, -118.3352)",33.989,-118.3352
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9909, -118.3294)",33.9909,-118.3294
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.167, -118.3759)",34.167,-118.3759
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1667, -118.3702)",34.1667,-118.3702
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1684, -118.3703)",34.1684,-118.3703
ROBBERY,"(34.1649, -118.3774)",34.1649,-118.3774
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1339, -118.3744)",34.1339,-118.3744
ROBBERY,"(34.1339, -118.3744)",34.1339,-118.3744
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1411, -118.372)",34.1411,-118.372
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2085, -118.3878)",34.2085,-118.3878
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2085, -118.3965)",34.2085,-118.3965
"RAPE, FORCIBLE","(33.7297, -118.2885)",33.7297,-118.2885
ROBBERY,"(34.1958, -118.5666)",34.1958,-118.5666
ROBBERY,"(34.0981, -118.3092)",34.0981,-118.3092
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0958, -118.3092)",34.0958,-118.3092
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0981, -118.3071)",34.0981,-118.3071
ROBBERY,"(34.2011, -118.3927)",34.2011,-118.3927
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.1504, -118.3703)",34.1504,-118.3703
ROBBERY,"(34.2267, -118.4704)",34.2267,-118.4704
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0754, -118.2879)",34.0754,-118.2879
"RAPE, FORCIBLE","(34.1922, -118.3987)",34.1922,-118.3987
ROBBERY,"(34.2003, -118.4002)",34.2003,-118.4002
ROBBERY,"(34.194, -118.4008)",34.194,-118.4008
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.8315, -118.3038)",33.8315,-118.3038
ROBBERY,"(34.0001, -118.4653)",34.0001,-118.4653
ROBBERY,"(34.0004, -118.4698)",34.0004,-118.4698
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0001, -118.4653)",34.0001,-118.4653
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9995, -118.4641)",33.9995,-118.4641
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9976, -118.467)",33.9976,-118.467
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9988, -118.4717)",33.9988,-118.4717
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.2992, -118.4517)",34.2992,-118.4517
ROBBERY,"(34.0277, -118.2574)",34.0277,-118.2574
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.029, -118.2563)",34.029,-118.2563
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0281, -118.2582)",34.0281,-118.2582
ROBBERY,"(34.0254, -118.2525)",34.0254,-118.2525
ROBBERY,"(34.0206, -118.2428)",34.0206,-118.2428
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9974, -118.28)",33.9974,-118.28
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0029, -118.2783)",34.0029,-118.2783
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9998, -118.2774)",33.9998,-118.2774
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0029, -118.2783)",34.0029,-118.2783
"RAPE, FORCIBLE","(34.0608, -118.2842)",34.0608,-118.2842
ROBBERY,"(34.0608, -118.2842)",34.0608,-118.2842
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(34.0618, -118.2878)",34.0618,-118.2878
ROBBERY,"(34.0542, -118.2717)",34.0542,-118.2717
ROBBERY,"(34.0565, -118.2724)",34.0565,-118.2724
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9842, -118.2783)",33.9842,-118.2783
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9842, -118.2783)",33.9842,-118.2783
ROBBERY,"(33.9842, -118.2783)",33.9842,-118.2783
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9824, -118.2783)",33.9824,-118.2783
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","(33.9323, -118.2502)",33.9323,-118.2502
ROBBERY,"(33.9348, -118.2473)",33.9348,-118.2473
